"","NombreCientifico","Ano","Annual_Catch_kg","MT"
"1","Anisotremus interruptus",2000,126460.2,126.4602
"2","Anisotremus interruptus",2001,112777.9,112.7779
"3","Anisotremus interruptus",2002,118020.5,118.0205
"4","Anisotremus interruptus",2003,126912.4,126.9124
"5","Anisotremus interruptus",2004,121752.2,121.7522
"6","Anisotremus interruptus",2005,137105.4,137.1054
"7","Anisotremus interruptus",2006,73706.4,73.7064
"8","Anisotremus interruptus",2007,87798.8,87.7988
"9","Anisotremus interruptus",2008,83932.9,83.9329
"10","Anisotremus interruptus",2009,120384.2,120.3842
"11","Anisotremus interruptus",2010,79828.2,79.8282
"12","Anisotremus interruptus",2011,93828.6,93.8286
"13","Anisotremus interruptus",2012,106179.1,106.1791
"14","Anisotremus interruptus",2013,133076.6,133.0766
"15","Anisotremus interruptus",2014,98914.5,98.9145
"16","Anisotremus interruptus",2015,89854.9,89.8549
"17","Balistes polylepis",2000,1370811.55,1370.81155
"18","Balistes polylepis",2001,763806.85,763.80685
"19","Balistes polylepis",2002,715247.6,715.2476
"20","Balistes polylepis",2003,1024173.6,1024.1736
"21","Balistes polylepis",2004,1153017.45,1153.01745
"22","Balistes polylepis",2005,874164.75,874.16475
"23","Balistes polylepis",2006,969246.8,969.2468
"24","Balistes polylepis",2007,1310567.85,1310.56785
"25","Balistes polylepis",2008,918724.6,918.7246
"26","Balistes polylepis",2009,948304.35,948.30435
"27","Balistes polylepis",2010,971363.68,971.36368
"28","Balistes polylepis",2011,867273.35,867.27335
"29","Balistes polylepis",2012,864878.45,864.87845
"30","Balistes polylepis",2013,1315711.2,1315.7112
"31","Balistes polylepis",2014,1631206.605,1631.206605
"32","Balistes polylepis",2015,2698773.07,2698.77307
"33","Calamus brachysomus",2000,3344,3.344
"34","Calamus brachysomus",2001,16363,16.363
"35","Calamus brachysomus",2002,17562,17.562
"36","Calamus brachysomus",2003,24611,24.611
"37","Calamus brachysomus",2004,18727,18.727
"38","Calamus brachysomus",2005,25349,25.349
"39","Calamus brachysomus",2006,23064,23.064
"40","Calamus brachysomus",2007,24801,24.801
"41","Calamus brachysomus",2008,24395,24.395
"42","Calamus brachysomus",2009,40902,40.902
"43","Calamus brachysomus",2010,46303,46.303
"44","Calamus brachysomus",2011,44117,44.117
"45","Calamus brachysomus",2012,46883,46.883
"46","Calamus brachysomus",2013,34715,34.715
"47","Calamus brachysomus",2014,32544,32.544
"48","Calamus brachysomus",2015,30104,30.104
"49","Epinephelus analogus",2000,955,0.955
"50","Epinephelus analogus",2001,1710,1.71
"51","Epinephelus analogus",2002,2711,2.711
"52","Epinephelus analogus",2003,198,0.198
"53","Epinephelus analogus",2004,2152,2.152
"54","Epinephelus analogus",2005,337,0.337
"55","Epinephelus analogus",2006,66,0.066
